SIZES,CITY,jong,totwage
3,11,59,126420
3,11,67,158724
1,11,6,7285
1,11,6,8440
2,11,13,20800
3,11,28,90456
3,11,40,91743
3,11,62,151272
4,11,95,338595
5,11,279,1851144
2,11,8,12695
3,11,19,32527
1,11,5,7640
1,11,9,18619
1,11,4,5660
2,11,10,30580
2,11,11,19258
5,11,529,1240537
4,11,90,194426
2,11,8,16188
3,11,25,63383
4,11,161,604494
1,11,5,13000
2,11,12,41069
1,11,6,8636
2,11,2,7500
2,11,2,7839
2,11,10,15898
3,11,28,64400
2,11,10,17811
2,11,2,4230
2,11,6,7827
3,11,48,128228
2,11,8,15886
1,11,3,7500
2,11,12,8700
3,11,43,99505
2,11,8,36820
3,11,45,161221
6,11,1475,5148478
1,11,3,3530
1,11,5,7200
1,11,1,3000
2,11,11,26383
2,11,11,18359
3,11,75,182372
4,11,125,326459
4,11,189,530503
1,11,6,13200
2,11,13,57704
2,11,20,86909
3,11,25,166369
2,11,17,42259
2,11,14,37141
3,11,83,660774
4,11,141,295453
1,11,2,6036
1,11,4,7800
1,11,6,7700
1,11,5,10483
1,11,3,5960
3,11,14,27583
2,11,2,8185
2,11,20,40991
1,11,7,20450
3,11,32,78024
2,11,22,104640
1,11,4,8102
2,11,10,27976
3,11,42,89083
3,11,45,90027
3,11,9,16606
4,11,276,1036432
1,11,3,8800
1,11,2,3037
2,11,16,32338
2,11,9,23967
3,11,52,111874
2,11,8,18147
5,11,249,1352136
4,11,80,494613
1,11,0,0
1,11,2,2600
3,11,16,40250
1,11,3,6538
2,11,14,20920
1,11,3,4300
3,11,15,30030
3,11,10,10640
4,11,30,21096
3,11,10,14392
6,11,334,763236
6,11,1108,2665175
1,11,6,11910
2,11,13,27295
2,11,12,28853
3,11,12,20000
4,11,186,161630
3,11,41,30689
4,11,171,150139
4,11,122,71492
4,11,118,91383
4,11,126,131003
4,11,146,137363
4,11,136,133271
5,11,456,510675
5,11,344,1135986
6,11,331,954524
4,11,121,390157
2,11,10,17283
1,11,1,1599
2,11,13,30494
2,11,28,33802
4,11,56,114775
2,11,5,5310
6,11,591,1200509
1,11,33,22737
2,11,8,14043
1,11,1,4318
3,11,52,278349
6,11,923,4538875
