SIZES,CITY,jong,totwage,allocate,weight
1,11,12,71047,94,15.7226
1,11,6,10731,94,15.7226
1,11,11,26600,94,15.7226
1,11,4,10881,94,15.7226
1,11,7,28585,94,15.7226
1,11,7,24409,94,15.7226
1,11,8,29209,94,15.7226
1,11,10,23020,94,15.7226
1,11,40,157643,94,15.7226
1,11,10,18450,94,15.7226
1,11,25,86846,94,15.7226
1,11,20,58837,94,15.7226
1,11,58,236179,94,15.7226
1,11,24,88831,94,15.7226
1,11,19,55082,94,15.7226
1,11,2,3230,94,15.7226
1,11,3,3400,94,15.7226
1,11,21,51204,94,15.7226
1,11,4,12619,94,15.7226
1,11,7,53606,94,15.7226
1,11,10,17491,94,15.7226
1,11,7,16261,94,15.7226
1,11,6,15332,94,15.7226
1,11,93,508734,94,15.7226
1,11,5,29190,94,15.7226
1,11,5,17395,94,15.7226
1,11,4,23802,94,15.7226
1,11,5,50058,94,15.7226
1,11,7,45488,94,15.7226
1,11,10,50148,94,15.7226
1,11,8,39570,94,15.7226
1,11,47,289062,94,15.7226
1,11,6,59665,94,15.7226
1,11,17,83368,94,15.7226
1,11,11,41617,94,15.7226
1,11,4,10794,94,15.7226
1,11,1,4826,94,15.7226
1,11,17,210447,94,15.7226
1,11,67,342885,94,15.7226
1,11,39,255151,94,15.7226
1,11,0,0,94,15.7226
1,11,10,36211,94,15.7226
1,11,7,19827,94,15.7226
1,11,5,17256,94,15.7226
1,11,10,73953,94,15.7226
1,11,8,35975,94,15.7226
1,11,8,20326,94,15.7226
1,11,15,35126,94,15.7226
1,11,9,44616,94,15.7226
1,11,57,162247,94,15.7226
1,11,41,121809,94,15.7226
1,11,18,56893,94,15.7226
1,11,25,159000,94,15.7226
1,11,55,8931976,94,15.7226
1,11,3,9200,94,15.7226
1,11,11,25334,94,15.7226
1,11,8,31051,94,15.7226
1,11,7,8346,94,15.7226
1,11,8,12831,94,15.7226
1,11,7,15580,94,15.7226
1,11,15,18415,94,15.7226
1,11,16,43949,94,15.7226
1,11,9,16860,94,15.7226
1,11,22,97695,94,15.7226
1,11,28,35234,94,15.7226
1,11,24,57000,94,15.7226
1,11,28,28991,94,15.7226
1,11,83,239285,94,15.7226
1,11,2,6378,94,15.7226
1,11,10,22010,94,15.7226
1,11,4,25513,94,15.7226
1,11,18,41332,94,15.7226
1,11,11,23270,94,15.7226
1,11,2,4800,94,15.7226
1,11,17,46310,94,15.7226
1,11,14,22067,94,15.7226
1,11,167,645499,94,15.7226
1,11,7,20256,94,15.7226
1,11,57,196902,94,15.7226
1,11,2,2000,94,15.7226
1,11,1,1600,94,15.7226
1,11,3,2480,94,15.7226
1,11,1,2550,94,15.7226
1,11,41,84505,94,15.7226
1,11,13,45781,94,15.7226
1,11,4,23994,94,15.7226
1,11,3,10400,94,15.7226
1,11,5,14200,94,15.7226
1,11,6,18510,94,15.7226
1,11,31,66055,94,15.7226
1,11,8,27614,94,15.7226
1,11,34,96349,94,15.7226
1,11,77,219266,94,15.7226
1,11,54,72900,94,15.7226
1,11,0,0,94,15.7226
1,11,0,0,94,15.7226
1,11,1,1550,94,15.7226
1,11,0,0,94,15.7226
1,11,15,21037,94,15.7226
1,11,3,3758,94,15.7226
1,11,1,8950,94,15.7226
1,11,1,1643,94,15.7226
1,11,0,0,94,15.7226
1,11,26,80878,94,15.7226
1,11,3,7300,94,15.7226
1,11,4,15000,94,15.7226
1,11,8,29200,94,15.7226
1,11,21,55047,94,15.7226
1,11,31,96683,94,15.7226
1,11,5,18374,94,15.7226
1,11,7,39999,94,15.7226
1,11,15,21652,94,15.7226
1,11,3,9289,94,15.7226
1,11,38,72047,94,15.7226
1,11,8,16200,94,15.7226
1,11,4,5237,94,15.7226
1,11,4,8828,94,15.7226
1,11,8,15726,94,15.7226
1,11,16,35763,94,15.7226
1,11,3,3200,94,15.7226
1,11,11,18769,94,15.7226
1,11,72,225372,94,15.7226
1,11,5,9831,94,15.7226
1,11,9,13860,94,15.7226
1,11,19,39347,94,15.7226
1,11,7,11760,94,15.7226
1,11,12,18000,94,15.7226
1,11,4,6292,94,15.7226
1,11,9,30816,94,15.7226
1,11,9,34040,94,15.7226
1,11,11,39273,94,15.7226
1,11,29,69950,94,15.7226
1,11,28,69153,94,15.7226
1,11,9,21313,94,15.7226
1,11,30,91297,94,15.7226
1,11,36,82558,94,15.7226
1,11,26,50713,94,15.7226
1,11,56,112489,94,15.7226
1,11,28,33777,94,15.7226
1,11,22,38203,94,15.7226
1,11,7,8740,94,15.7226
1,11,32,63996,94,15.7226
1,11,7,14400,94,15.7226
1,11,15,28248,94,15.7226
1,11,2,3400,94,15.7226
1,11,10,39639,94,15.7226
1,11,3,4350,94,15.7226
1,11,23,47134,94,15.7226
1,11,17,36334,94,15.7226
1,11,6,12690,94,15.7226
1,11,8,14510,94,15.7226
1,11,7,24860,94,15.7226
1,11,17,68489,94,15.7226
1,11,45,248996,94,15.7226
1,11,9,22212,94,15.7226
1,11,3,3200,94,15.7226
1,11,3,4300,94,15.7226
1,11,5,12290,94,15.7226
1,11,4,21845,94,15.7226
1,11,3,4900,94,15.7226
1,11,10,31583,94,15.7226
1,11,14,20290,94,15.7226
1,11,1,1200,94,15.7226
1,11,20,25000,94,15.7226
1,11,7,15844,94,15.7226
1,11,11,23550,94,15.7226
1,11,19,75845,94,15.7226
1,11,69,143237,94,15.7226
1,11,59,126420,94,15.7226
1,11,67,158724,94,15.7226
1,11,6,7285,94,15.7226
1,11,6,8440,94,15.7226
1,11,13,20800,94,15.7226
1,11,28,90456,94,15.7226
1,11,40,91743,94,15.7226
